,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
19,0.3947368421052631,0.5157894736842106,,,1.0,0.0,1,"[('230', 10.23752618084612), ('135', 7.776163413174318), ('487', 7.179589396081127), ('239', 6.8664674485599875), ('149', 5.909837389821245), ('806', 5.892465580487405), ('603', 5.528133855006422), ('750', 5.372894876202783), ('132', 5.158063854493591), ('948', 5.1567459008911625)]","[('230', 8.190020944676895), ('135', 6.220930730539455), ('487', 5.843671516864902), ('239', 5.59317395884799), ('149', 4.727869911856996), ('806', 4.713972464389925), ('603', 4.4225070840051375), ('750', 4.298315900962226), ('132', 4.126451083594873), ('948', 4.1253967207129305)]",1.0
20,0.425,0.51,,,1.0,0.0,1,"[('505', 6.097424991640734), ('148', 5.764471029452698), ('572', 5.365623282387332), ('186', 4.984341443354952), ('2', 4.441890855825287), ('127', 4.3870461720404315), ('597', 4.255109139720014), ('498', 4.074635629507432), ('49', 4.016375257527265), ('57', 3.965390199293967)]","[('505', 4.877939993312587), ('148', 4.611576823562159), ('572', 4.292498625909866), ('186', 4.087473154683962), ('127', 3.6096369376323456), ('2', 3.55351268466023), ('597', 3.504087311776012), ('498', 3.3597085036059458), ('49', 3.2131002060218123), ('57', 3.1723121594351738)]",0.9998533351602374
21,0.5,0.5333333333333333,,,1.0,0.0,1,"[('178', 13.042624337524718), ('995', 11.286885082172128), ('300', 10.533809822160357), ('345', 8.947202109365083), ('819', 8.410071026592416), ('710', 7.989845156062547), ('827', 7.834870493402409), ('881', 7.626757897058768), ('186', 7.068991242301943), ('97', 6.930607585657751)]","[('178', 10.434099470019774), ('995', 9.029508065737703), ('300', 8.427047857728287), ('345', 7.157761687492067), ('819', 6.728056821273933), ('710', 6.391876124850038), ('827', 6.2678963947219275), ('881', 6.101406317647015), ('186', 5.755192993841555), ('97', 5.544486068526201)]",1.0
22,0.5,0.5363636363636364,,,1.0,0.0,1,"[('402', 8.708457180646876), ('30', 8.549664342056907), ('168', 7.228159587411108), ('397', 7.063371563707002), ('333', 6.485502419404459), ('415', 6.240786887570212), ('479', 6.061262544052409), ('805', 5.935278993610691), ('328', 5.7313306814273215), ('345', 5.675957174287251)]","[('402', 6.9667657445175015), ('30', 6.839731473645526), ('168', 5.782527669928887), ('397', 5.650697250965602), ('333', 5.188401935523568), ('415', 4.99262951005617), ('479', 4.949010035241927), ('805', 4.748223194888553), ('328', 4.585064545141857), ('345', 4.5407657394298)]",1.0
23,0.5,0.5304347826086957,,,1.0,0.0,1,"[('710', 7.9707709444244195), ('254', 5.884565007197953), ('716', 5.609570011467771), ('691', 5.29388750201546), ('572', 5.191770285100707), ('370', 4.961783977211964), ('373', 4.79813150231811), ('383', 4.7754954129177145), ('38', 4.682676270594645), ('713', 4.664887562993237)]","[('710', 6.376616755539536), ('254', 4.707652005758362), ('716', 4.487656009174217), ('691', 4.235110001612369), ('572', 4.153416228080565), ('370', 3.9694271817695714), ('373', 3.8385052018544883), ('383', 3.8203963303341717), ('38', 3.7461410164757165), ('713', 3.73191005039459)]",1.0
24,0.4791666666666667,0.5333333333333333,,,1.0,0.0,1,"[('910', 8.180311386227311), ('384', 6.534497301462643), ('881', 6.267964780684645), ('152', 5.9803534251229395), ('561', 5.633568088662674), ('570', 5.505819190709707), ('714', 5.232112039686636), ('448', 5.207885946224967), ('924', 4.931222064051481), ('464', 4.813842961729307)]","[('910', 6.544249108981849), ('384', 5.327597841170115), ('881', 5.014371824547716), ('152', 4.784282740098352), ('561', 4.506854470930139), ('570', 4.404655352567766), ('448', 4.266308756979973), ('714', 4.185689631749309), ('464', 3.951074369383446), ('924', 3.9449776512411847)]",0.999918401674796
25,0.5199999999999999,0.536,,,1.0,0.0,1,"[('949', 8.274236175481676), ('158', 7.3775666424206), ('731', 7.172163577855634), ('855', 6.81833976634932), ('259', 6.7542881385545925), ('519', 6.36681420148595), ('478', 6.226904968443882), ('300', 5.882341481453019), ('640', 5.7744973353451154), ('925', 5.534792050185299)]","[('949', 6.619388940385341), ('158', 5.902053313936481), ('731', 5.737730862284508), ('855', 5.4546718130794565), ('259', 5.403430510843674), ('519', 5.093451361188761), ('478', 4.981523974755106), ('300', 4.705873185162416), ('640', 4.6195978682760925), ('925', 4.427833640148239)]",1.0
26,0.5,0.5384615384615384,,,1.0,0.0,1,"[('989', 9.801026844373585), ('241', 9.50785460658344), ('721', 7.895701344379074), ('193', 7.108322771962483), ('632', 6.767392112011811), ('887', 6.42342140529764), ('157', 5.8109905275902785), ('515', 5.705789088520042), ('377', 5.6122452760586), ('946', 5.39182245544408)]","[('989', 7.840821475498868), ('241', 7.606283685266752), ('721', 6.316561075503259), ('193', 5.6866582175699865), ('632', 5.513913689609448), ('887', 5.238737124238112), ('157', 4.648792422072223), ('515', 4.564631270816034), ('377', 4.48979622084688), ('946', 4.413457964355264)]",1.0
27,0.537037037037037,0.5481481481481482,,,1.0,0.0,1,"[('305', 6.462362395528952), ('177', 5.90043725562305), ('379', 5.746193573939709), ('881', 5.416903913284686), ('190', 5.177032352518961), ('809', 5.171317881238349), ('979', 5.1196972987186555), ('389', 5.111860291071538), ('612', 4.93297652512007), ('634', 4.730627586945887)]","[('305', 5.169889916423163), ('177', 4.82034980449844), ('379', 4.596954859151768), ('881', 4.333523130627749), ('190', 4.141625882015169), ('809', 4.13705430499068), ('979', 4.095757838974925), ('389', 4.089488232857231), ('612', 4.046381220096056), ('634', 3.7845020695567095)]",1.0
28,0.5535714285714285,0.55,,,0.0,1.0,1,"[('256', 8.52325266760433), ('574', 7.991727188167568), ('827', 6.291040835096971), ('732', 5.639710291457239), ('348', 5.628757914010005), ('697', 5.159571856250386), ('423', 5.13031739150592), ('670', 4.882690382738811), ('65', 4.862391367146181), ('431', 4.69931494789535)]","[('256', 6.818602134083465), ('574', 6.493381750534054), ('827', 5.132832668077577), ('732', 4.511768233165792), ('348', 4.503006331208004), ('697', 4.1276574850003085), ('423', 4.104253913204736), ('670', 4.006152306191049), ('65', 3.889913093716945), ('431', 3.75945195831628)]",1.0
29,0.5517241379310345,0.5517241379310345,,,1.0,0.0,1,"[('240', 6.771685571834388), ('636', 6.259402803930648), ('432', 5.609783567347676), ('544', 5.558052261805649), ('996', 5.109204551766104), ('664', 4.656088904136028), ('578', 4.592757740886371), ('878', 4.364716168947947), ('3', 4.309045013391694), ('9', 4.045303691803675)]","[('240', 5.417348457467511), ('636', 5.0075222431445185), ('432', 4.487826853878141), ('544', 4.4464418094445195), ('996', 4.0873636414128836), ('664', 3.7248711233088225), ('578', 3.6742061927090965), ('878', 3.4917729351583575), ('3', 3.4472360107133557), ('9', 3.2362429534429404)]",1.0
30,0.5333333333333333,0.5666666666666667,,,1.0,0.0,1,"[('3', 12.089848135399466), ('7', 11.001883974082737), ('934', 10.716689933973772), ('991', 9.310020913234), ('326', 8.944663230249805), ('986', 8.544139678396494), ('811', 8.22931027907482), ('827', 7.807582272533557), ('760', 7.391244776849039), ('624', 6.99754524466069)]","[('3', 9.671878508319573), ('7', 8.80150717926619), ('934', 8.573351947179018), ('991', 7.4480167305872005), ('326', 7.155730584199844), ('986', 6.835311742717195), ('811', 6.583448223259857), ('827', 6.246065818026846), ('760', 5.912995821479232), ('624', 5.598036195728552)]",1.0
31,0.5161290322580645,0.567741935483871,,,1.0,0.0,1,"[('351', 10.601271871047164), ('893', 9.724708014768622), ('334', 8.269327990332132), ('588', 7.6884275939918005), ('399', 7.625050146328199), ('704', 7.495754153707007), ('117', 7.177872300862556), ('905', 6.776780204864833), ('792', 6.514001164669974), ('756', 6.50467545104126)]","[('351', 8.481017496837731), ('893', 7.879766411814897), ('334', 6.615462392265705), ('588', 6.150742075193441), ('399', 6.1000401170625596), ('704', 5.996603322965606), ('117', 5.742297840690045), ('905', 5.421424163891867), ('792', 5.21120093173598), ('756', 5.203740360833009)]",1.0
32,0.5156249999999999,0.55,,,1.0,0.0,1,"[('350', 7.261400138309566), ('152', 6.645279659528649), ('864', 6.423017827762737), ('253', 5.899420098033939), ('532', 5.579653353858174), ('351', 5.256454186279894), ('564', 5.128213748073408), ('602', 4.956996123050894), ('753', 4.912363152014394), ('356', 4.677100798576611)]","[('350', 5.809120110647653), ('152', 5.316223727622919), ('864', 5.1384142622101905), ('253', 4.719536078427152), ('532', 4.46372268308654), ('351', 4.205163349023915), ('564', 4.102570998458726), ('602', 4.065596898440715), ('753', 3.929890521611515), ('356', 3.7416806388612893)]",1.0
33,0.5151515151515151,0.5636363636363636,,,1.0,0.0,1,"[('435', 12.450420885543458), ('210', 10.296355192848349), ('854', 10.112766262625087), ('458', 8.514590813499392), ('991', 8.170428657110222), ('986', 8.045087405949214), ('760', 7.739409563490065), ('887', 7.4603245964625735), ('848', 7.4184198400928745), ('90', 6.4447250687447015)]","[('435', 9.960336708434767), ('210', 8.23708415427868), ('854', 8.09021301010007), ('458', 6.8116726507995145), ('991', 6.536342925688178), ('986', 6.436069924759372), ('760', 6.191527650792052), ('887', 6.068259677170059), ('848', 5.9347358720743), ('90', 5.155780054995762)]",1.0
34,0.5147058823529411,0.5764705882352941,,,1.0,0.0,1,"[('307', 6.700163930103989), ('180', 6.613677315714658), ('256', 6.555405054216052), ('481', 6.470932849692626), ('230', 6.104739780296301), ('989', 5.990738104372381), ('323', 5.986369737594598), ('622', 5.940633476085154), ('754', 5.927044830102919), ('193', 5.804797597602809)]","[('307', 5.360131144083192), ('180', 5.290941852571727), ('256', 5.244324043372842), ('481', 5.176746279754101), ('230', 4.883791824237041), ('989', 4.792590483497905), ('323', 4.789095790075678), ('622', 4.752506780868123), ('754', 4.741635864082336), ('193', 4.643838078082247)]",1.0
35,0.5,0.5771428571428572,,,1.0,0.0,1,"[('818', 6.552608683861839), ('811', 5.575754460653486), ('486', 5.377887401332718), ('181', 5.081004074890105), ('50', 5.00967172845681), ('202', 4.6411992036499194), ('312', 4.57868255352425), ('923', 4.551644730851416), ('809', 4.338757141284836), ('93', 4.280176499267304)]","[('818', 5.242086947089472), ('811', 4.460603568522789), ('486', 4.302309921066175), ('181', 4.064803259912084), ('50', 4.007737382765448), ('312', 3.7629460428194004), ('202', 3.7129593629199356), ('923', 3.641315784681133), ('809', 3.4710057130278686), ('93', 3.4241411994138433)]",0.9998808816674823
36,0.5,0.5666666666666667,,,1.0,0.0,1,"[('574', 11.75119100255694), ('729', 9.387076134536375), ('534', 8.3911243181247), ('943', 8.348276945800748), ('168', 7.813752477280307), ('80', 7.518305775313898), ('181', 7.1225916934344955), ('268', 6.9678721729617), ('15', 6.741438254770298), ('952', 6.612618968310479)]","[('574', 9.400952802045552), ('729', 7.509660907629101), ('534', 6.71289945449976), ('943', 6.678621556640599), ('168', 6.2510019818242455), ('80', 6.014644620251119), ('181', 5.698073354747597), ('268', 5.57429773836936), ('15', 5.493150603816238), ('952', 5.290095174648384)]",1.0
37,0.5,0.5567567567567567,,,1.0,0.0,1,"[('861', 9.353384270898502), ('42', 7.471858062211706), ('284', 7.30047332913488), ('367', 7.2619735903826115), ('117', 7.090479525266301), ('275', 6.790134835172071), ('7', 6.390524613839961), ('701', 6.267723743928797), ('754', 6.228011543122667), ('223', 5.597293335379439)]","[('861', 7.482707416718802), ('42', 5.977486449769366), ('284', 5.840378663307904), ('367', 5.80957887230609), ('117', 5.672383620213041), ('275', 5.432107868137657), ('7', 5.1124196910719695), ('701', 5.0141789951430376), ('754', 4.982409234498134), ('223', 4.477834668303552)]",1.0
38,0.48684210526315785,0.5578947368421052,,,1.0,0.0,1,"[('554', 8.255096373477432), ('946', 8.003425543458505), ('305', 7.893773926668494), ('341', 7.724707676429796), ('3', 7.497075547774949), ('496', 7.017349418772051), ('811', 6.4846909200765825), ('633', 6.38572793247203), ('833', 6.21276387659531), ('129', 6.183922041770769)]","[('554', 6.604077098781946), ('946', 6.502740434766804), ('305', 6.315019141334796), ('341', 6.179766141143837), ('3', 5.99766043821996), ('496', 5.613879535017642), ('811', 5.187752736061267), ('633', 5.1085823459776245), ('833', 4.970211101276249), ('129', 4.947137633416616)]",1.0
39,0.48717948717948717,0.5538461538461539,,,1.0,0.0,1,"[('247', 7.745013058332256), ('727', 7.59034319528474), ('181', 6.6027490682917005), ('720', 6.415964242964948), ('183', 6.283420079530398), ('378', 6.233809117355355), ('970', 5.591624503016601), ('649', 5.461169145807557), ('46', 5.4425780581491106), ('778', 5.292533823923584)]","[('247', 6.196010446665805), ('727', 6.1722745562277925), ('181', 5.282199254633361), ('720', 5.132771394371959), ('183', 5.026736063624319), ('378', 4.9870472938842845), ('970', 4.473299602413281), ('649', 4.368935316646046), ('46', 4.354062446519289), ('778', 4.234027059138867)]",1.0
40,0.4875,0.55,,,1.0,0.0,1,"[('246', 7.376257760512816), ('65', 6.687353547819972), ('916', 6.371753551337369), ('671', 6.334228228004769), ('63', 6.072229102510587), ('531', 5.995541908094521), ('328', 5.620695215686931), ('382', 5.540876586560817), ('396', 5.028400407109539), ('883', 4.81147746998337)]","[('246', 5.901006208410253), ('65', 5.349882838255978), ('916', 5.097402841069895), ('671', 5.067382582403816), ('63', 4.857783282008469), ('531', 4.796433526475616), ('328', 4.496556172549545), ('382', 4.432701269248653), ('396', 4.122720325687632), ('883', 3.8491819759866956)]",1.0
41,0.4878048780487805,0.5414634146341464,,,1.0,0.0,1,"[('23', 9.13831482338904), ('312', 6.770816005697216), ('784', 6.584087202676974), ('122', 6.2748880013577955), ('679', 6.118098393107252), ('660', 5.10886077282531), ('473', 5.020221417178025), ('398', 4.942582503184061), ('598', 4.888640440118799), ('577', 4.831379963331525)]","[('23', 7.310651858711232), ('312', 5.516652804557773), ('784', 5.26726976214158), ('122', 5.0199104010862365), ('679', 4.894478714485802), ('660', 4.087088618260249), ('473', 4.01617713374242), ('398', 3.954066002547249), ('598', 3.910912352095039), ('577', 3.86510397066522)]",1.0
42,0.4880952380952381,0.5428571428571428,,,1.0,0.0,1,"[('180', 11.043520197043293), ('186', 11.01392630981311), ('860', 9.29314593084771), ('777', 9.045035076610334), ('383', 8.873198289418347), ('329', 8.392109526689735), ('178', 8.29048810454513), ('815', 8.273061784971265), ('569', 6.6822455349385415), ('472', 6.487592814240051)]","[('186', 8.911141047850489), ('180', 8.834816157634634), ('860', 7.4345167446781675), ('777', 7.236028061288268), ('383', 7.0985586315346785), ('329', 6.713687621351788), ('178', 6.6323904836361045), ('815', 6.618449427977012), ('569', 5.345796427950834), ('472', 5.190074251392041)]",0.9964944187713044
43,0.4883720930232558,0.5395348837209303,,,1.0,0.0,1,"[('401', 7.1750688292731395), ('310', 6.21299151900724), ('263', 5.727491750228442), ('857', 5.1376620429898345), ('774', 4.544046103881359), ('544', 4.354217598689997), ('354', 4.219305695735364), ('651', 4.126019381800317), ('734', 3.9600553642076024), ('920', 3.921454840139139)]","[('401', 5.740055063418512), ('310', 4.970393215205792), ('263', 4.581993400182753), ('857', 4.110129634391868), ('774', 3.6352368831050876), ('544', 3.4833740789519982), ('354', 3.4754445565882914), ('651', 3.3008155054402537), ('734', 3.168044291366082), ('920', 3.1371638721113113)]",1.0
44,0.48863636363636365,0.55,,,1.0,0.0,1,"[('210', 6.550536102350477), ('230', 6.187904414746097), ('878', 5.012469415450431), ('925', 4.9872035875264675), ('642', 4.770444108069379), ('20', 4.5537201542073085), ('854', 4.278835816232015), ('852', 4.0516516308), ('655', 3.980713341958541), ('59', 3.9145374586941006)]","[('210', 5.240428881880382), ('230', 4.950323531796878), ('878', 4.009975532360345), ('925', 3.989762870021174), ('642', 3.816355286455503), ('20', 3.742976123365847), ('854', 3.4230686529856125), ('852', 3.3413213046400005), ('59', 3.2316299669552806), ('655', 3.1845706735668333)]",0.999958632112238
